Symbol,mean_return,volatility,sharpe_ratio,max_drawdown,avg_volume
AAVE,-0.2523588650683097,-0.26051701419498396,1.630878219380789,0.3631604750444085,-0.3855834726764805
ADA,-0.2523588656739808,-0.2605170148339576,0.14544398592149657,-0.7417108568725421,-0.2970061355394837
ATOM,-0.25235886602872876,-0.2605170148860601,-0.6023806278479144,0.07158097874138729,-0.4322418982596867
BNB,-0.2523588653110702,-0.2605170150515898,1.252013968385198,-0.026636606494950435,-0.3573533446316961
BTC,-0.25235886610892116,-0.26051701613212663,-0.040579293931139196,-0.2049769324537565,1.9708825570008197
CRO,-0.25235886582260353,-0.2605170151373523,-0.2045918447966958,0.1800163806322158,-0.488028963221954
DOGE,0.6978365863539003,0.9175165769193053,-1.1949081225579936,-0.8283664273976866,-0.40137252651874966
DOT,-0.2523588652382642,-0.2605170145461805,1.1698957601248274,0.3874702995537706,-0.044895619725234724
EOS,-0.25235886607235936,-0.26051701491669305,-0.7966783180080068,-0.5023248279864907,-0.07164498304920898
ETH,-0.25235886570267,-0.2605170153537594,0.7527629823713822,-0.5851001166195765,1.0990356307614946
LINK,-0.252358865575218,-0.2605170146313892,0.5054519991360749,-0.3419211614236343,-0.34254492842366907
LTC,-0.252358866036602,-0.2605170153693338,-0.5560343654493632,-0.7241533473628246,-0.2083479657491034
MIOTA,-0.25235886607289154,-0.2605170149502679,-0.766401733001327,-0.7456273069205966,-0.48651390777119746
SOL,-0.2523588647143127,-0.2605170138325718,2.1574805537355743,0.18753253686659574,-0.45504242644941956
TRX,-0.25235886557878007,-0.26051701471306443,0.10206704202933754,-0.6677515087606635,-0.2851093702056444
UNI,-0.25235886537508995,-0.26051701398431465,0.6917111403306804,0.5301875044238832,-0.2589247615346826
USDC,-0.2523588664885382,-0.2605170175826931,-2.0020417516239033,2.9156895081850487,-0.3518343527286452
USDT,-0.25235886647816635,-0.2605170175832263,-1.8904093117850984,2.785098703467017,3.891232927598701
WBTC,-0.25235886600188884,-0.2605170160666578,0.5058356533336377,0.7646455464850866,-0.48679624863664533
XEM,4.601699594612985,4.553340741904895,-0.09269571274784277,-0.82836642741384,-0.4893325579119023
XLM,-0.25235886583579464,-0.2605170148742646,-0.24173597464783222,-0.6780226039270278,-0.442394637275151
XMR,-0.2523588659147963,-0.2605170150975735,-0.19486353881722765,-0.6486237086682848,-0.4622740854369365
XRP,-0.2523588658678987,-0.2605170150861398,-0.3302207095346536,-0.6618001010975525,-0.21390892961552202
